Time		Case1		Case2		Case3		Case4
411		565638.9493477589		574759.6933369624		569421.6505280308		574759.69356687
412		568648.1624018791		577768.9063910824		569421.6505280308		574759.69356687
413		571657.3754559993		580778.1194452028		569421.6505280308		574759.69356687
414		574666.5885101195		583787.3324993228		578449.2896940027		583787.3327328417
415		577576.2568023881		586796.5455534431		578449.2896940027		583787.3327328417
416		580585.4698565083		589805.7586075633		578449.2896940027		583787.3327328417
417		583594.6829106285		592814.9716616835		587476.9288599745		592814.9718988135
418		586603.8959647487		595824.1847158037		587476.9288599745		592814.9718988135
419		589613.1090188689		598833.3977699239		587476.9288599745		592814.9718988135
420		592522.7773111375		601842.6108240441		596504.5680259463		601842.6110647853
421		571417.7113391061		580737.5448520136		596504.5680259463		601842.6110647853
422		574426.9243932263		583425.234185785		596504.5680259463		601842.6110647853
423		577436.1374473465		586112.9235195565		581417.9281657664		586755.9712046064
424		580445.3505014667		588800.612853328		581417.9281657664		586755.9712046064
425		583355.0187937353		591488.3021870995		581417.9281657664		586755.9712046064
426		586364.2318478555		594175.991520871		589324.6956528911		594819.0392095321
427		589373.4449019757		596863.6808546424		589324.6956528911		594819.0392095321
428		590796.9230456662		599551.3701884139		589324.6956528911		594819.0392095321
429		593612.5233306031		602239.0595221854		597693.8588180968		602882.1072144578
430		596522.1916228718		604926.7488559568		597693.8588180968		602882.1072144578
431		599531.404676992		607614.4381897283		597693.8588180968		602882.1072144578
432		602540.6177311122		610302.1275234998		606721.4979840687		610945.1752193836
433		600726.974980002		612989.8168572712		606721.4979840687		610945.1752193836
434		603736.1880341222		615677.5061910426		606721.4979840687		610945.1752193836
435		606645.8563263909		618365.1955248142		610926.2813448102		619008.2432243092
436		609655.0693805111		621052.8848585857		610926.2813448102		619008.2432243092
437		612664.2824346311		623740.5741923571		610926.2813448102		619008.2432243092
438		615673.4954887514		626428.2635261286		619953.9205107819		627071.311229235
439		618682.7085428716		629115.9528599001		619953.9205107819		627071.311229235
440		621592.3768351402		631803.6421936715		619953.9205107819		627071.311229235
441		624601.5898892605		634491.331527443		628981.5596767537		635134.3792341608
442		606510.8087954979		616079.0267133326		628981.5596767537		635134.3792341608
443		609520.0218496182		618485.382791799		628981.5596767537		635134.3792341608
444		612529.2349037384		620891.7388702654		616909.2046948428		622097.4530912046
445		615438.9031960069		623298.0949487318		616909.2046948428		622097.4530912046
446		618448.1162501272		625704.4510271982		616909.2046948428		622097.4530912046
447		620292.001519468		628110.8071056646		622378.1485015885		629316.5213302152
448		616472.2167322778		630517.163184131		622378.1485015885		629316.5213302152
449		619094.2042480315		632923.5192625974		622378.1485015885		629316.5213302152
450		622003.8725403001		635329.8753410638		626582.93186233		636535.5895692257
451		625013.0855944203		637736.2314195302		626582.93186233		636535.5895692257
452		628022.2986485405		640142.5874979966		626582.93186233		636535.5895692257
453		631031.5117026607		642548.943576463		635610.5710283017		643754.6578082362
454		629820.7259272044		644955.2996549294		635610.5710283017		643754.6578082362
455		632730.394219473		647361.6557333958		635610.5710283017		643754.6578082362
456		635739.6072735932		649768.0118118622		640418.211364697		650973.7260472467
457		638748.8203277134		652174.3678903286		640418.211364697		650973.7260472467
458		641758.0333818336		654580.723968795		640418.211364697		650973.7260472467
459		644767.2464359538		656987.0800472614		649445.8505306687		658192.7942862572
460		647676.9147282224		659393.4361257277		649445.8505306687		658192.7942862572
461		650686.1277823426		661799.7922041942		649445.8505306687		658192.7942862572
462		653695.3408364628		664206.1482826606		656744.3958750514		665411.8625252678
463		629389.5817962234		645512.5102132452		656744.3958750514		665411.8625252678
464		632011.5693119771		647637.5330364064		656744.3958750514		665411.8625252678
465		634921.2376042458		649762.5558595678		639798.9312298862		651530.9366163963
466		637930.450658366		651887.5786827292		639798.9312298862		651530.9366163963
467		640939.6637124862		654012.6015058905		639798.9312298862		651530.9366163963
468		643948.8767666064		656137.6243290518		648826.570395858		657906.0050894915
469		642738.09099115		658262.6471522131		648826.570395858		657906.0050894915
470		645647.7592834185		660387.6699753745		648826.570395858		657906.0050894915
471		648656.9723375388		662512.6927985358		653634.2107322533		664281.0735625867
472		651666.185391659		664637.7156216971		653634.2107322533		664281.0735625867
473		654675.3984457792		666762.7384448585		653634.2107322533		664281.0735625867
474		657684.6114998994		668887.7612680198		662661.849898225		670656.1420356819
475		656374.2809625915		671012.7840911811		662661.849898225		670656.1420356819
476		659383.4940167117		673137.8069143425		662661.849898225		670656.1420356819
477		662392.7070708319		675262.8297375038		667469.4902346203		677031.2105087771
478		660579.0643197218		677387.8525606651		667469.4902346203		677031.2105087771
479		663588.277373842		679512.8753838263		667469.4902346203		677031.2105087771
480		666497.9456661105		681637.8982069878		671674.2735953617		683406.2789818723
481		669507.1587202308		683762.921030149		671674.2735953617		683406.2789818723
482		672516.371774351		685887.9438533104		671674.2735953617		683406.2789818723
